shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
1,Morana,Presentes e Acessórios,14,14,1573.3,112.38,CS,107
1,Me Blue,Presentes e Acessórios,13,12,1501.5,115.5,CS,108
1,L'OCCITANE AU BRESIL,Beleza e Bem-estar,5,5,1489.6,297.92,CS,109
1,Riviera Café,Gastronomia,29,17,1485.0,51.21,CS,110
1,It Cell,Eletrônicos,8,7,1420.92,177.62,CS,111
1,Jah do Açaí,Gastronomia,13,10,1379.39,106.11,CS,112
1,Hot Dog Du Piru,Gastronomia,38,28,1285.79,33.84,CS,113
1,Floripratas,Presentes e Acessórios,10,9,1257.25,125.72,CS,114
1,Subway,Gastronomia,34,23,1215.9,35.76,CS,115
1,AstroBox,Gastronomia,23,20,1131.43,49.19,CS,116
1,Borelli Gelato,Gastronomia - Sorvetes,26,22,1112.0,42.77,CS,117
1,Outlet Suplementos,Esportes,5,4,1100.93,220.19,CS,118
1,Goldko,Gastronomia,8,8,1087.93,135.99,CS,119
1,Sandaliaria,Calçados,5,5,1051.19,210.24,CS,120
1,Provin Joias,Não informado,5,5,997.0,199.4,CS,121
1,Chiquinho Sorvetes,Gastronomia - Sorvetes,42,34,977.0,23.26,CS,122
1,Frank d'Ferran Cabelereiros,Salão de Beleza | Barbearia,3,3,952.0,317.33,CS,123
1,Lilica & Tigor,Infantil,4,2,824.85,206.21,CS,124
1,Ótica Oculum,Ótica,1,1,790.0,790.0,CS,125
1,World Cookies,Gastronomia,36,10,727.5,20.21,CS,126
1,Mr Trend,Ótica,2,2,712.0,356.0,CS,127
1,New Era,Moda,3,3,688.8,229.6,CS,128
1,EVOLUCELL CELULARES,Telefonia,2,1,675.0,337.5,CS,129
1,Le Postiche,Presentes e Acessórios,5,5,609.95,121.99,CS,130
1,Melissa,Calçados,3,3,609.5,203.17,CS,131
1,Botoclinic,Beleza e Bem-estar,1,1,599.0,599.0,CS,132
1,Milky Moo,Gastronomia,16,14,564.0,35.25,CS,133
1,Smartcase,Eletrônicos,3,3,458.8,152.93,CS,134
1,Kfc,Gastronomia,9,9,419.0,46.56,CS,135
1,Lanzara,Joalheria,1,1,375.0,375.0,CS,136
1,Dedal Oficina de Costura,Serviços,1,1,282.0,282.0,CS,137
1,Fini,Gastronomia,5,4,254.2,50.84,CS,138
1,Mate Chique,Outros,2,2,155.8,77.9,CS,139
1,WOW Park,Lazer,4,4,115.8,28.95,CS,140
2,Renner,Moda,299,218,92076.47,307.95,BS,1
2,Vivara,Joalheria,18,16,74881.35,4160.08,BS,2
2,Lindt,Gastronomia,158,131,63128.29,399.55,BS,3
2,Centauro,Esportes,140,127,59956.37,428.26,BS,4
2,Victor Hugo,Moda Feminina,13,9,49063.71,3774.13,BS,5
2,C&A,Moda,138,112,40609.5,294.27,BS,6
2,Paris Cosméticos,Beleza e Bem-estar,84,74,28149.47,335.11,BS,7
