shopping_id,cnpj,loja_nome,segmento,status_atual,last_time,data_inativacao,cupons,clientes,valor_total,shopping_sigla,participou,inativada_na_promo
2,03179385000194,Paris Cosméticos,Beleza e Bem-estar,ATIVO,2024-12-11 21:24:06,,137,119,44865.74,BS,True,False
2,14959293000143,Dolce & Gabbana,Moda,ATIVO,2025-12-09 11:05:11,,5,5,42157.0,BS,True,False
2,47100110024888,Brooksfield,Moda,ATIVO,2026-03-23 08:15:22,,19,18,40952.65,BS,True,False
2,11516257004961,Lofty style,Moda Feminina,ATIVO,2026-03-20 08:05:34,,48,42,39347.47,BS,True,False
2,05570154001295,Adidas,Esportes,ATIVO,2025-11-26 16:00:35,,46,41,34740.78,BS,True,False
2,03733595004412,Superlegal Brinquedos,Infantil,ATIVO,2024-12-11 21:24:20,,160,133,32981.43,BS,True,False
2,88936323001961,Coliseu,Joalheria,ATIVO,2025-04-01 14:35:52,,7,6,32797.0,BS,True,False
2,79065181001409,Livrarias Catarinense,Livrarias,ATIVO,2024-12-11 21:24:20,,276,215,32475.97,BS,True,False
2,02926185002805,Le Creuset,Casa e Decoração,ATIVO,2026-03-20 14:17:59,,28,25,32058.65,BS,True,False
2,04756550000196,The North Face,Moda,ATIVO,2024-12-11 21:24:20,,16,8,31785.0,BS,True,False
2,23103714000392,Track&Field,Moda,ATIVO,2024-12-11 21:24:20,,51,42,31497.64,BS,True,False
2,10346495000169,Cacau Show,Gastronomia,ATIVO,2024-12-11 21:24:10,,127,101,31052.1,BS,True,False
2,89237911017116,iPlace Mobile,Eletrônicos,ATIVO,2024-12-11 21:24:20,,19,17,30586.45,BS,True,False
2,13257648009901,Rayban,Ótica,ATIVO,2026-03-20 14:19:00,,18,17,29937.0,BS,True,False
2,36331349000153,Arezzo,Calçados Femininos,ATIVO,2026-03-20 07:46:38,,53,49,29455.95,BS,True,False
2,48812567000350,Virus 41,Calçados,ATIVO,2026-03-20 08:48:26,,40,40,28291.03,BS,True,False
2,35303139003376,Live!,Moda,ATIVO,2026-03-20 14:18:13,,44,41,28137.5,BS,True,False
2,04692027003673,Oakley,Ótica,ATIVO,2026-03-20 14:18:04,,13,12,28005.5,BS,True,False
2,32143917000131,Magic Feet,Moda,ATIVO,2026-03-20 14:29:31,,28,25,26600.77,BS,True,False
2,59546515000134,Nike,Moda,ATIVO,2025-12-12 13:51:37,,25,25,26172.9,BS,True,False
2,14012554006588,Dress To,Moda Feminina,ATIVO,2026-03-23 08:13:55,,19,18,24513.15,BS,True,False
2,21345888000174,Swarovski,Joalheria,ATIVO,2024-12-11 21:24:20,,9,8,24036.5,BS,True,False
2,33164270000197,Miniso,Presentes e Acessórios,ATIVO,2025-03-11 07:47:12,,156,48,23561.72,BS,True,False
2,57621054003530,Boss,Moda,ATIVO,2026-03-20 14:16:14,,14,10,22246.0,BS,True,False
2,02455036001752,Samsung,Eletrônicos,ATIVO,2024-12-11 21:24:20,,3,3,21632.0,BS,True,False
2,09611669014900,Farm,Moda,ATIVO,2026-03-20 07:58:26,,24,19,21234.69,BS,True,False
2,28383312000302,Maria Dolores,Joalheria,ATIVO,2024-12-11 21:24:20,,8,7,20530.06,BS,True,False
2,08743025007957,Granado,Beleza e Bem-estar,ATIVO,2024-12-11 21:24:20,,80,63,20347.38,BS,True,False
2,57673178000110,Zeiss Vision Center,Ótica,ATIVO,2025-01-24 12:04:50,,4,4,20325.0,BS,True,False
2,33200056057680,Carter´s,Infantil,ATIVO,2026-03-20 14:29:31,,44,39,19849.16,BS,True,False
2,09148568000129,Schutz,Calçados,ATIVO,2024-12-11 21:24:20,,17,17,19177.0,BS,True,False
2,17261661007852,Outback Steakhouse,Gastronomia,ATIVO,2024-12-11 21:24:20,,75,55,19015.56,BS,True,False
2,03002339009090,Camicado,Casa e Decoração,ATIVO,2024-12-11 21:24:20,,60,50,18786.15,BS,True,False
2,48729832000170,Kopenhagen,Gastronomia,ATIVO,2024-12-11 21:24:20,,85,60,18403.42,BS,True,False
2,13783221018920,Madero,Gastronomia,ATIVO,2026-03-19 08:06:20,,102,86,17803.6,BS,True,False
2,61747426000106,Hope,Moda,ATIVO,2025-11-14 08:40:11,,52,49,17622.33,BS,True,False
2,06159920000214,Lua Luá,Moda,ATIVO,2025-08-04 08:34:22,,34,27,17349.3,BS,True,False
2,58731662017278,Ri Happy,Infantil,ATIVO,2026-04-27 13:51:47,,80,67,16776.27,BS,True,False
2,34509029000115,Lupo,Moda,ATIVO,2024-12-11 21:24:20,,60,58,15944.9,BS,True,False
2,24991405000105,Levi's,Moda,ATIVO,2024-12-11 21:24:20,,25,25,15004.16,BS,True,False
2,27769320000167,Clifield,Moda,ATIVO,2024-12-11 21:24:20,,20,18,15001.3,BS,True,False
2,75293662001763,Altenburg,Casa e Decoração,ATIVO,2024-12-11 21:24:20,,7,7,14923.06,BS,True,False
2,78876950003006,Hering Store,Moda,ATIVO,2024-12-11 21:24:20,,51,45,14866.16,BS,True,False
2,47960950125331,Magazine Luiza,Eletrodomésticos,ATIVO,2026-03-23 06:58:16,,8,8,14602.38,BS,True,False
